Date of Census,Total Adult in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
9/23/2015,33803,23403,57206,8871,3527,12398,11912,16885,23403,40288,2158,4520
9/24/2015,33832,23391,57223,8856,3529,12385,11936,16926,23391,40317,2158,4521
9/25/2015,33755,23486,57241,8754,3508,12262,11967,16965,23486,40451,2162,4528
9/26/2015,33673,23448,57121,8735,3498,12233,11938,16934,23448,40382,2151,4506
9/27/2015,33802,23470,57272,8822,3509,12331,11963,16958,23470,40428,2154,4513
9/28/2015,33879,23485,57364,8848,3534,12382,11971,16973,23485,40458,2159,4524
9/29/2015,33830,23455,57285,8831,3529,12360,11964,16948,23455,40403,2158,4522
9/30/2015,33882,23484,57366,8850,3539,12389,11975,16966,23484,40450,2161,4527
10/1/2015,33809,23428,57237,8796,3520,12316,11966,16955,23428,40383,2167,4538
10/2/2015,33787,23431,57218,8789,3508,12297,11966,16951,23431,40382,2167,4539
10/3/2015,33742,23363,57105,8806,3525,12331,11925,16890,23363,40253,2158,4521
10/4/2015,33826,23376,57202,8849,3535,12384,11943,16912,23376,40288,2164,4530
10/5/2015,33870,23406,57276,8866,3539,12405,11950,16936,23406,40342,2164,4529
10/6/2015,33851,23388,57239,8892,3536,12428,11933,16905,23388,40293,2159,4518
10/7/2015,33858,23401,57259,8882,3538,12420,11950,16929,23401,40330,2154,4509
10/8/2015,33851,23331,57182,8883,3552,12435,11929,16900,23331,40231,2157,4516
10/9/2015,33841,23414,57255,8811,3524,12335,11982,16981,23414,40395,2161,4525
10/10/2015,33764,23360,57124,8779,3531,12310,11951,16935,23360,40295,2158,4519
10/11/2015,33828,23342,57170,8844,3540,12384,11940,16916,23342,40258,2162,4528
10/12/2015,33964,23400,57364,8891,3568,12459,11964,16949,23400,40349,2176,4556
10/13/2015,34016,23444,57460,8918,3562,12480,11998,16990,23444,40434,2171,4546
10/14/2015,33956,23397,57353,8878,3578,12456,11982,16964,23397,40361,2166,4536
10/15/2015,33969,23331,57300,8925,3573,12498,11969,16942,23331,40273,2163,4529
10/16/2015,33937,23377,57314,8884,3561,12445,11988,16951,23377,40328,2168,4541
10/17/2015,33952,23368,57320,8910,3559,12469,11988,16948,23368,40316,2165,4535
10/18/2015,34022,23364,57386,8962,3585,12547,11987,16951,23364,40315,2160,4524
10/19/2015,34122,23424,57546,8975,3584,12559,12018,17001,23424,40425,2178,4562
10/20/2015,34027,23396,57423,8944,3572,12516,11990,16956,23396,40352,2175,4555
10/21/2015,34034,23376,57410,8975,3553,12528,11979,16951,23376,40327,2175,4555
10/22/2015,34072,23376,57448,9009,3573,12582,11978,16952,23376,40328,2168,4538
10/23/2015,34020,23377,57397,8961,3566,12527,11984,16966,23377,40343,2163,4527
10/24/2015,34056,23372,57428,8957,3586,12543,11999,16979,23372,40351,2167,4534
10/25/2015,34063,23306,57369,9014,3587,12601,11968,16924,23306,40230,2169,4538
10/26/2015,34117,23343,57460,9052,3574,12626,11976,16945,23343,40288,2173,4546
10/27/2015,34070,23340,57410,9032,3579,12611,11963,16921,23340,40261,2171,4538
10/28/2015,34178,23397,57575,9090,3594,12684,11989,16962,23397,40359,2168,4532
10/29/2015,34174,23444,57618,9060,3586,12646,12008,16987,23444,40431,2170,4541
10/30/2015,34048,23408,57456,8981,3539,12520,12005,16980,23408,40388,2174,4548
10/31/2015,34002,23412,57414,8913,3538,12451,12021,16999,23412,40411,2176,4552
11/1/2015,34029,23378,57407,8981,3553,12534,11989,16963,23378,40341,2166,4532
11/3/2015,34072,23379,57451,8999,3564,12563,11985,16965,23379,40344,2171,4544
11/4/2015,34114,23370,57484,9033,3572,12605,11990,16949,23370,40319,2176,4560
11/5/2015,34117,23361,57478,9063,3560,12623,12007,16957,23361,40318,2165,4537
11/6/2015,34039,23380,57419,8981,3530,12511,12026,16987,23380,40367,2166,4541
11/7/2015,34060,23387,57447,8995,3555,12550,12030,17000,23387,40387,2153,4510
11/8/2015,34164,23379,57543,9083,3570,12653,12034,16997,23379,40376,2155,4514
11/9/2015,34299,23457,57756,9116,3576,12692,12081,17055,23457,40512,2174,4552
11/10/2015,34304,23418,57722,9142,3586,12728,12069,17032,23418,40450,2170,4544
11/11/2015,34330,23475,57805,9127,3603,12730,12090,17050,23475,40525,2174,4550
11/12/2015,34320,23454,57774,9118,3591,12709,12089,17045,23454,40499,2182,4566
11/13/2015,34310,23491,57801,9112,3574,12686,12103,17064,23491,40555,2179,4560
11/14/2015,34224,23452,57676,9056,3572,12628,12080,17038,23452,40490,2177,4558
11/15/2015,34271,23429,57700,9077,3597,12674,12069,17031,23429,40460,2181,4566
11/16/2015,34388,23468,57856,9131,3603,12734,12094,17059,23468,40527,2195,4595
11/17/2015,34403,23500,57903,9135,3607,12742,12099,17083,23500,40583,2187,4578
11/18/2015,34410,23520,57930,9155,3608,12763,12120,17090,23520,40610,2177,4557
11/19/2015,34424,23481,57905,9180,3619,12799,12112,17081,23481,40562,2170,4544
11/20/2015,34404,23522,57926,9137,3590,12727,12139,17112,23522,40634,2181,4565
11/21/2015,34268,23474,57742,9079,3574,12653,12105,17066,23474,40540,2172,4549
11/22/2015,34402,23493,57895,9149,3603,12752,12120,17096,23493,40589,2175,4554
11/23/2015,34514,23523,58037,9188,3613,12801,12144,17137,23523,40660,2185,4576
11/24/2015,34473,23481,57954,9185,3606,12791,12131,17119,23481,40600,2178,4563
11/25/2015,34432,23530,57962,9145,3573,12718,12167,17159,23530,40689,2174,4555
11/26/2015,34380,23576,57956,9082,3544,12626,12191,17184,23576,40760,2181,4570
11/27/2015,34416,23577,57993,9119,3538,12657,12194,17188,23577,40765,2181,4571
11/28/2015,34402,23505,57907,9147,3554,12701,12148,17125,23505,40630,2184,4576
11/29/2015,34430,23425,57855,9196,3576,12772,12118,17089,23425,40514,2181,4569
11/30/2015,34531,23436,57967,9254,3589,12843,12113,17093,23436,40529,2192,4595
12/1/2015,34366,23367,57733,9180,3573,12753,12070,17026,23367,40393,2187,4587
12/2/2015,34347,23406,57753,9164,3572,12736,12098,17043,23406,40449,2177,4568
12/3/2015,34354,23415,57769,9145,3579,12724,12122,17059,23415,40474,2179,4571
12/4/2015,34235,23402,57637,9025,3556,12581,12121,17060,23402,40462,2189,4594
12/5/2015,34320,23396,57716,9126,3582,12708,12112,17038,23396,40434,2180,4574
12/6/2015,34417,23419,57836,9189,3591,12780,12125,17054,23419,40473,2185,4583
12/7/2015,34517,23450,57967,9270,3588,12858,12151,17082,23450,40532,2182,4577
12/8/2015,34552,23426,57978,9280,3604,12884,12149,17085,23426,40511,2185,4583
12/9/2015,34554,23430,57984,9259,3600,12859,12153,17092,23430,40522,2195,4603
12/10/2015,34616,23454,58070,9272,3619,12891,12169,17120,23454,40574,2195,4605
12/11/2015,34457,23395,57852,9177,3592,12769,12151,17090,23395,40485,2192,4598
12/12/2015,34417,23413,57830,9146,3594,12740,12148,17085,23413,40498,2188,4592
12/13/2015,34551,23420,57971,9216,3621,12837,12166,17106,23420,40526,2195,4608
12/14/2015,34566,23432,57998,9241,3603,12844,12166,17108,23432,40540,2198,4614
12/15/2015,34562,23403,57965,9251,3617,12868,12148,17082,23403,40485,2198,4612
12/16/2015,34611,23415,58026,9259,3622,12881,12166,17106,23415,40521,2203,4624
12/17/2015,34575,23461,58036,9218,3631,12849,12185,17124,23461,40585,2192,4602
12/18/2015,34474,23407,57881,9189,3601,12790,12151,17063,23407,40470,2199,4621
12/19/2015,34442,23412,57854,9184,3592,12776,12160,17074,23412,40486,2186,4592
12/20/2015,34549,23404,57953,9258,3613,12871,12152,17074,23404,40478,2191,4604
12/21/2015,34587,23422,58009,9285,3615,12900,12158,17082,23422,40504,2192,4605
12/22/2015,34545,23440,57985,9259,3610,12869,12162,17087,23440,40527,2184,4589
12/23/2015,34486,23416,57902,9236,3609,12845,12150,17071,23416,40487,2175,4570
12/24/2015,34279,23410,57689,9052,3561,12613,12157,17086,23410,40496,2180,4580
12/25/2015,34313,23398,57711,9078,3557,12635,12158,17087,23398,40485,2185,4591
12/26/2015,34320,23379,57699,9116,3557,12673,12145,17063,23379,40442,2182,4584
12/27/2015,34392,23338,57730,9209,3568,12777,12121,17029,23338,40367,2183,4586
12/28/2015,34570,23326,57896,9304,3601,12905,12127,17049,23326,40375,2197,4616
12/29/2015,34517,23321,57838,9294,3593,12887,12113,17031,23321,40352,2189,4599
12/30/2015,34514,23400,57914,9274,3550,12824,12154,17080,23400,40480,2195,4610
12/31/2015,33960,23378,57338,8845,3440,12285,12152,17061,23378,40439,2197,4614
1/1/2016,34267,23362,57629,9116,3476,12592,12146,17057,23362,40419,2199,4618
1/2/2016,34317,23361,57678,9150,3492,12642,12144,17053,23361,40414,2200,4622
1/3/2016,34463,23325,57788,9265,3539,12804,12128,17036,23325,40361,2200,4623
1/4/2016,34611,23318,57929,9380,3588,12968,12118,17020,23318,40338,2200,4623
1/5/2016,34650,23358,58008,9365,3610,12975,12138,17049,23358,40407,2200,4626
1/6/2016,34682,23404,58086,9351,3606,12957,12174,17090,23404,40494,2204,4635
1/7/2016,34708,23429,58137,9334,3625,12959,12186,17111,23429,40540,2205,4638
1/8/2016,34612,23401,58013,9269,3602,12871,12198,17115,23401,40516,2201,4626
1/9/2016,34558,23362,57920,9239,3618,12857,12185,17084,23362,40446,2196,4617
1/10/2016,34681,23396,58077,9301,3631,12932,12211,17116,23396,40512,2203,4633
1/11/2016,34732,23426,58158,9322,3638,12960,12217,17130,23426,40556,2208,4642
1/12/2016,34788,23454,58242,9339,3646,12985,12244,17161,23454,40615,2209,4642
1/13/2016,34830,23460,58290,9364,3659,13023,12247,17155,23460,40615,2214,4652
1/14/2016,34871,23484,58355,9358,3655,13013,12274,17190,23484,40674,2222,4668
1/15/2016,34737,23418,58155,9290,3625,12915,12244,17134,23418,40552,2233,4688
1/16/2016,34685,23379,58064,9272,3615,12887,12230,17126,23379,40505,2225,4672
1/17/2016,34804,23456,58260,9329,3623,12952,12257,17168,23456,40624,2231,4684
1/18/2016,34891,23479,58370,9345,3657,13002,12277,17197,23479,40676,2234,4692
1/19/2016,34945,23494,58439,9389,3639,13028,12296,17225,23494,40719,2234,4692
1/20/2016,34907,23398,58305,9391,3644,13035,12258,17164,23398,40562,2242,4708
1/21/2016,34751,23232,57983,9415,3647,13062,12208,17031,23232,40263,2231,4658
1/22/2016,34849,23434,58283,9368,3636,13004,12274,17175,23434,40609,2223,4670
1/23/2016,34719,23450,58169,9233,3606,12839,12279,17194,23450,40644,2230,4686
1/24/2016,34870,23525,58395,9301,3627,12928,12323,17253,23525,40778,2231,4689
1/25/2016,34919,23476,58395,9390,3628,13018,12291,17216,23476,40692,2229,4685
1/26/2016,34892,23409,58301,9420,3630,13050,12256,17165,23409,40574,2226,4677
1/27/2016,34840,23363,58203,9376,3634,13010,12235,17137,23363,40500,2233,4693
1/28/2016,34837,23372,58209,9386,3636,13022,12224,17118,23372,40490,2235,4697
1/29/2016,34793,23398,58191,9348,3629,12977,12240,17137,23398,40535,2227,4679
1/30/2016,34749,23384,58133,9348,3615,12963,12237,17123,23384,40507,2220,4663
1/31/2016,34793,23391,58184,9371,3622,12993,12243,17126,23391,40517,2225,4674
2/1/2016,34744,23384,58128,9319,3595,12914,12248,17147,23384,40531,2229,4683
2/2/2016,34749,23394,58143,9345,3587,12932,12244,17143,23394,40537,2224,4674
2/3/2016,34807,23424,58231,9354,3579,12933,12278,17191,23424,40615,2229,4683
2/4/2016,34785,23406,58191,9321,3581,12902,12283,17196,23406,40602,2230,4687
2/5/2016,34726,23355,58081,9307,3569,12876,12256,17160,23355,40515,2231,4690
2/6/2016,34708,23306,58014,9296,3562,12858,12240,17139,23306,40445,2242,4711
2/7/2016,34776,23342,58118,9322,3578,12900,12257,17165,23342,40507,2242,4711
2/8/2016,34887,23296,58183,9413,3619,13032,12245,17144,23296,40440,2242,4711
2/9/2016,34914,23294,58208,9426,3627,13053,12244,17147,23294,40441,2243,4714
2/10/2016,34931,23294,58225,9443,3619,13062,12250,17154,23294,40448,2245,4715
2/11/2016,34973,23303,58276,9508,3612,13120,12233,17130,23303,40433,2249,4723
2/12/2016,34848,23243,58091,9447,3603,13050,12206,17079,23243,40322,2247,4719
2/13/2016,34838,23266,58104,9432,3597,13029,12206,17082,23266,40348,2251,4727
2/14/2016,34920,23297,58217,9461,3609,13070,12229,17119,23297,40416,2253,4731
2/15/2016,35026,23310,58336,9500,3630,13130,12239,17145,23310,40455,2263,4751
2/16/2016,35033,23318,58351,9512,3627,13139,12238,17147,23318,40465,2261,4747
2/17/2016,35029,23289,58318,9540,3626,13166,12225,17135,23289,40424,2251,4728
2/18/2016,34992,23285,58277,9524,3635,13159,12226,17134,23285,40419,2238,4699
2/19/2016,34932,23295,58227,9478,3605,13083,12230,17138,23295,40433,2244,4711
2/20/2016,34817,23226,58043,9428,3604,13032,12195,17093,23226,40319,2235,4692
2/21/2016,34910,23233,58143,9503,3620,13123,12204,17105,23233,40338,2229,4682
2/22/2016,35030,23258,58288,9546,3633,13179,12234,17155,23258,40413,2236,4696
2/23/2016,35024,23221,58245,9577,3639,13216,12202,17108,23221,40329,2238,4700
2/24/2016,35010,23221,58231,9550,3642,13192,12220,17133,23221,40354,2231,4685
2/25/2016,35038,23209,58247,9544,3665,13209,12229,17138,23209,40347,2233,4691
2/26/2016,34966,23187,58153,9512,3653,13165,12216,17124,23187,40311,2226,4677
2/27/2016,34873,23143,58016,9440,3650,13090,12208,17102,23143,40245,2229,4681
2/28/2016,34926,23165,58091,9479,3651,13130,12228,17131,23165,40296,2221,4665
2/29/2016,34986,23130,58116,9520,3681,13201,12211,17107,23130,40237,2228,4678
3/1/2016,34925,23114,58039,9495,3653,13148,12206,17098,23114,40212,2228,4679
3/2/2016,34979,23122,58101,9513,3662,13175,12215,17113,23122,40235,2234,4691
3/3/2016,34978,23088,58066,9529,3662,13191,12205,17097,23088,40185,2233,4690
3/4/2016,34916,23079,57995,9496,3633,13129,12202,17088,23079,40167,2237,4699
3/5/2016,34842,22988,57830,9483,3634,13117,12163,17030,22988,40018,2235,4695
3/6/2016,34907,22985,57892,9512,3657,13169,12167,17041,22985,40026,2235,4697
3/7/2016,35000,23034,58034,9554,3638,13192,12195,17085,23034,40119,2247,4723
3/8/2016,34966,23008,57974,9532,3650,13182,12188,17071,23008,40079,2242,4713
3/9/2016,34951,22990,57941,9506,3653,13159,12189,17068,22990,40058,2247,4724
3/10/2016,34934,22981,57915,9460,3656,13116,12195,17087,22981,40068,2250,4731
3/11/2016,34832,22882,57714,9446,3638,13084,12141,17018,22882,39900,2250,4730
3/12/2016,34761,22831,57592,9433,3619,13052,12124,16987,22831,39818,2246,4722
3/13/2016,34864,22841,57705,9474,3642,13116,12136,17008,22841,39849,2255,4740
3/14/2016,34958,22863,57821,9520,3661,13181,12155,17044,22863,39907,2252,4733
3/15/2016,34957,22854,57811,9527,3672,13199,12144,17026,22854,39880,2252,4732
3/16/2016,34960,22890,57850,9512,3655,13167,12172,17058,22890,39948,2252,4735
3/17/2016,34946,22875,57821,9475,3652,13127,12184,17085,22875,39960,2251,4734
3/18/2016,34897,22848,57745,9455,3649,13104,12160,17053,22848,39901,2254,4740
3/19/2016,34868,22844,57712,9450,3638,13088,12161,17058,22844,39902,2245,4722
3/20/2016,35009,22863,57872,9534,3668,13202,12174,17071,22863,39934,2252,4736
3/21/2016,35063,22914,57977,9568,3669,13237,12187,17096,22914,40010,2249,4730
3/22/2016,34993,22812,57805,9599,3651,13250,12124,17014,22812,39826,2248,4729
3/23/2016,35025,22842,57867,9567,3665,13232,12153,17042,22842,39884,2259,4751
3/24/2016,34981,22865,57846,9524,3650,13174,12185,17079,22865,39944,2247,4728
3/25/2016,34878,22795,57673,9467,3637,13104,12163,17043,22795,39838,2249,4731
3/26/2016,34924,22783,57707,9504,3642,13146,12156,17050,22783,39833,2248,4728
3/27/2016,34954,22783,57737,9502,3661,13163,12162,17059,22783,39842,2251,4732
3/28/2016,35032,22798,57830,9574,3676,13250,12160,17059,22798,39857,2246,4723
3/29/2016,35042,22764,57806,9591,3679,13270,12144,17043,22764,39807,2250,4729
3/30/2016,35054,22769,57823,9576,3675,13251,12153,17051,22769,39820,2260,4752
3/31/2016,34954,22807,57761,9471,3671,13142,12171,17070,22807,39877,2255,4742
4/1/2016,34736,22757,57493,9327,3638,12965,12155,17028,22757,39785,2255,4743
4/2/2016,34757,22770,57527,9357,3628,12985,12151,17027,22770,39797,2258,4745
4/3/2016,34931,22836,57767,9450,3643,13093,12192,17089,22836,39925,2259,4749
4/4/2016,35054,22864,57918,9542,3668,13210,12189,17081,22864,39945,2265,4763
4/5/2016,35032,22818,57850,9531,3678,13209,12182,17057,22818,39875,2267,4766
4/6/2016,35046,22854,57900,9509,3667,13176,12209,17098,22854,39952,2270,4772
4/7/2016,35103,22874,57977,9519,3663,13182,12233,17132,22874,40006,2277,4789
4/8/2016,34994,22811,57805,9449,3662,13111,12209,17093,22811,39904,2278,4790
4/9/2016,34941,22765,57706,9445,3657,13102,12196,17055,22765,39820,2275,4784
4/10/2016,35039,22746,57785,9496,3671,13167,12192,17055,22746,39801,2290,4817
4/11/2016,35157,22837,57994,9502,3690,13192,12249,17146,22837,39983,2291,4819
4/12/2016,35176,22820,57996,9521,3692,13213,12261,17139,22820,39959,2293,4824
4/13/2016,35123,22829,57952,9473,3695,13168,12263,17141,22829,39970,2288,4814
4/14/2016,35123,22814,57937,9502,3692,13194,12248,17120,22814,39934,2286,4809
4/15/2016,35007,22796,57803,9416,3687,13103,12243,17107,22796,39903,2282,4797
4/16/2016,34946,22798,57744,9350,3688,13038,12251,17121,22798,39919,2277,4787
4/17/2016,35025,22791,57816,9423,3697,13120,12246,17113,22791,39904,2280,4792
4/18/2016,35116,22805,57921,9472,3708,13180,12261,17143,22805,39948,2280,4793
4/19/2016,35093,22774,57867,9465,3713,13178,12254,17136,22774,39910,2272,4779
4/20/2016,35082,22778,57860,9441,3709,13150,12264,17154,22778,39932,2271,4778
4/21/2016,35075,22770,57845,9431,3716,13147,12266,17154,22770,39924,2270,4774
4/22/2016,34992,22719,57711,9359,3705,13064,12253,17135,22719,39854,2280,4793
4/23/2016,34952,22701,57653,9364,3703,13067,12243,17112,22701,39813,2270,4773
4/24/2016,35044,22709,57753,9424,3719,13143,12246,17109,22709,39818,2279,4792
4/25/2016,35122,22718,57840,9449,3729,13178,12264,17137,22718,39855,2286,4807
4/28/2016,35284,22834,58118,9499,3746,13245,12334,17231,22834,40065,2286,4808
4/29/2016,35040,22775,57815,9357,3680,13037,12305,17193,22775,39968,2287,4810
4/30/2016,35023,22770,57793,9347,3680,13027,12299,17188,22770,39958,2285,4808
5/1/2016,35207,22808,58015,9447,3722,13169,12321,17218,22808,40026,2291,4820
5/2/2016,35221,22783,58004,9441,3728,13169,12324,17225,22783,40008,2294,4827
5/3/2016,35235,22824,58059,9424,3733,13157,12347,17258,22824,40082,2291,4820
5/4/2016,35260,22842,58102,9427,3744,13171,12369,17292,22842,40134,2282,4797
5/5/2016,35219,22838,58057,9392,3745,13137,12369,17280,22838,40118,2284,4802
5/6/2016,35172,22821,57993,9377,3724,13101,12359,17259,22821,40080,2289,4812
5/7/2016,35087,22783,57870,9345,3710,13055,12348,17239,22783,40022,2280,4793
5/8/2016,35173,22830,58003,9392,3719,13111,12379,17271,22830,40101,2279,4791
5/9/2016,35210,22793,58003,9437,3726,13163,12345,17233,22793,40026,2290,4814
5/10/2016,35129,22726,57855,9395,3724,13119,12327,17193,22726,39919,2293,4817
5/11/2016,35065,22746,57811,9322,3726,13048,12338,17195,22746,39941,2295,4822
5/12/2016,35099,22749,57848,9370,3716,13086,12337,17193,22749,39942,2294,4820
5/13/2016,35102,22778,57880,9369,3704,13073,12351,17204,22778,39982,2297,4825
5/14/2016,35026,22757,57783,9347,3696,13043,12336,17186,22757,39943,2283,4797
5/15/2016,35119,22775,57894,9427,3702,13129,12349,17200,22775,39975,2280,4790
5/16/2016,35227,22833,58060,9408,3743,13151,12388,17264,22833,40097,2291,4812
5/17/2016,35218,22832,58050,9423,3726,13149,12382,17246,22832,40078,2298,4823
5/18/2016,35294,22867,58161,9460,3743,13203,12398,17266,22867,40133,2299,4825
5/19/2016,35247,22791,58038,9455,3742,13197,12368,17216,22791,40007,2303,4834
5/20/2016,35129,22786,57915,9374,3691,13065,12359,17216,22786,40002,2310,4848
5/21/2016,35076,22733,57809,9383,3699,13082,12322,17167,22733,39900,2300,4827
5/22/2016,35157,22751,57908,9418,3708,13126,12341,17189,22751,39940,2307,4842
5/23/2016,35224,22744,57968,9450,3720,13170,12343,17186,22744,39930,2319,4868
5/24/2016,35163,22699,57862,9452,3710,13162,12311,17131,22699,39830,2320,4870
5/25/2016,35138,22692,57830,9418,3708,13126,12320,17131,22692,39823,2326,4881
5/26/2016,35079,22665,57744,9393,3711,13104,12314,17114,22665,39779,2316,4861
5/27/2016,34996,22605,57601,9363,3700,13063,12283,17073,22605,39678,2315,4860
5/28/2016,34880,22596,57476,9279,3682,12961,12264,17049,22596,39645,2320,4870
5/29/2016,34998,22638,57636,9315,3700,13015,12293,17096,22638,39734,2328,4887
5/30/2016,35033,22611,57644,9356,3715,13071,12279,17072,22611,39683,2330,4890
6/1/2016,35010,22631,57641,9299,3711,13010,12304,17106,22631,39737,2331,4894
6/2/2016,35085,22653,57738,9340,3719,13059,12322,17129,22653,39782,2333,4897
6/3/2016,34994,22625,57619,9249,3713,12962,12317,17114,22625,39739,2343,4918
6/4/2016,34992,22628,57620,9274,3700,12974,12313,17111,22628,39739,2338,4907
6/5/2016,35173,22680,57853,9359,3719,13078,12354,17174,22680,39854,2345,4921
6/6/2016,35190,22649,57839,9366,3728,13094,12339,17152,22649,39801,2356,4944
6/7/2016,35157,22617,57774,9358,3733,13091,12336,17125,22617,39742,2353,4941
6/8/2016,35247,22666,57913,9404,3756,13160,12358,17145,22666,39811,2355,4942
6/9/2016,35250,22707,57957,9383,3744,13127,12382,17186,22707,39893,2353,4937
6/10/2016,34960,22731,57691,9284,3530,12814,12399,17215,22731,39946,2351,4931
6/11/2016,35041,22651,57692,9242,3694,12936,12373,17176,22651,39827,2350,4929
6/12/2016,35184,22687,57871,9336,3726,13062,12393,17199,22687,39886,2347,4923
6/13/2016,35233,22679,57912,9366,3752,13118,12387,17198,22679,39877,2345,4917
6/14/2016,35257,22651,57908,9361,3766,13127,12385,17204,22651,39855,2351,4926
